symbol,file,data_points,date_range,current_price,price_min,price_max,price_avg,total_return,daily_return_avg,daily_return_std,max_daily_gain,max_daily_loss,volatility,avg_price_range,max_intraday_range,avg_volume,total_volume,updays,downdays,win_rate
AAPL,raw/AAPL/20251209_0230.parquet,30,2025-10-27 to 2025-12-08,277.89,266.25,286.19,273.38533333333334,3.3778505263940994,0.11862941276219108,0.9131371370184811,2.1601158000222664,-1.817113909181034,0.9131371370184811,5.243333333333334,9.509999999999991,236073.93866666668,7082218.16,15,14,50.0
MSFT,raw/MSFT/20251209_0230.parquet,30,2025-10-27 to 2025-12-08,491.02,472.12,542.07,500.246,-7.619656833232991,-0.2628649160298851,1.4403598679851086,1.984873570138479,-2.915704921059914,1.4403598679851086,9.704666666666675,18.069999999999993,319763.0916666666,9592892.749999998,13,16,43.333333333333336
TSLA,raw/TSLA/20251209_0230.parquet,30,2025-10-27 to 2025-12-08,439.58,391.09,468.37,433.09000000000003,-2.838070819150351,-0.05253896487291993,3.1052745937932418,6.824516096039268,-6.644217371110084,3.1052745937932418,17.383333333333336,34.19999999999999,1532620.5641666665,45978616.925,16,13,53.333333333333336
