symbol,file,data_points,date_range,current_price,price_min,price_max,price_avg,total_return,daily_return_avg,daily_return_std,max_daily_gain,max_daily_loss,volatility,avg_price_range,max_intraday_range,avg_volume,total_volume,updays,downdays,win_rate
AAPL,raw/AAPL/20251208_0445.parquet,30,2025-10-24 to 2025-12-05,278.78,262.82,286.19,272.883,6.072597214823827,0.20822853520910803,0.9926541343198422,2.279126398295417,-1.817113909181034,0.9926541343198422,5.290999999999999,9.509999999999991,237513.95366666667,7125418.61,16,13,53.333333333333336
MSFT,raw/MSFT/20251208_0445.parquet,30,2025-10-24 to 2025-12-05,483.16,472.12,542.07,501.33233333333334,-7.725215332021918,-0.26686919056707614,1.4350706137918603,1.984873570138479,-2.915704921059914,1.4350706137918603,9.594000000000007,18.069999999999993,316171.8858333333,9485156.575,13,16,43.333333333333336
TSLA,raw/TSLA/20251208_0445.parquet,30,2025-10-24 to 2025-12-05,455.0,391.09,468.37,432.8946666666667,4.906391220142026,0.2129971863826053,3.1388395912389817,6.824516096039268,-6.644217371110084,3.1388395912389817,17.617000000000008,34.19999999999999,1542505.6175,46275168.525,17,12,56.666666666666664
