symbol,file,data_points,date_range,current_price,price_min,price_max,price_avg,total_return,daily_return_avg,daily_return_std,max_daily_gain,max_daily_loss,volatility,avg_price_range,max_intraday_range,avg_volume,total_volume,updays,downdays,win_rate
AAPL,raw/AAPL/20251129_0246.parquet,30,2025-10-17 to 2025-11-28,278.85,252.29,278.85,268.96333333333337,10.527567481866118,0.3524598685972458,1.1851377992351082,3.943874113123802,-1.817113909181034,1.1851377992351082,5.349333333333333,9.509999999999991,250105.54166666666,7503166.25,18,11,60.0
MSFT,raw/MSFT/20251129_0246.parquet,30,2025-10-17 to 2025-11-28,492.01,472.12,542.07,507.021,-4.1999299038124605,-0.1388891113089937,1.3590812481641525,1.984873570138479,-2.915704921059914,1.3590812481641525,9.632333333333348,18.069999999999993,293593.11833333335,8807793.55,15,14,50.0
TSLA,raw/TSLA/20251129_0246.parquet,30,2025-10-17 to 2025-11-28,430.17,391.09,468.37,432.9493333333333,-2.08053538503562,-0.02416447502263587,3.1591868039713438,6.824516096039268,-6.644217371110084,3.1591868039713438,18.615000000000002,35.5,1552914.339166667,46587430.17500001,16,13,53.333333333333336
